relation,MAE_GLOBAL,RMSE_GLOBAL,MAE_LOCAL,RMSE_LOCAL
birthDate,23.360666929559326,34.42128611762777,21.694684112671332,31.136527284720252
completionDate,9.424703390392235,11.297957883051497,7.692403562481015,9.484855079318988
deathDate,26.636416716419742,38.64294559619858,25.98710418007534,36.82376835246787
formationDate,40.35764650000001,47.10491845207741,40.35764650000001,47.10491845207741
foundingDate,52.94387371122636,63.124205356641596,52.40669263735037,69.37860433528306
height,1.403262410865874,1.4076923536421473,1.403262410865874,1.4076923536421473
releaseDate,13.332472902513327,18.40529411317265,11.583487138359988,17.08191675976268
wgs84_pos#lat,11.830167909899975,17.656363131170075,7.08125274228486,15.124423676636056
wgs84_pos#long,59.821099886589295,69.81303882209605,29.056025866383674,48.33888210367252
